BYLINE,DATE,DATELINE,HEADLINE,LENGTH,PUBLICATION,SECTION,TITLE,SUBJECT
,"November 21, 2016 Monday 00:00 EST",,As Donald Trump Picks His Cabinet; Letters,450 words,The New York Times,OPINION,,ATTORNEYS GENERAL (91%); LAWYERS (90%); US FEDERAL GOVERNMENT (90%); US PRESIDENTIAL CANDIDATES 2016 (90%); JUSTICE DEPARTMENTS (90%); VOTERS & VOTING (90%); RACISM & XENOPHOBIA (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); LAW ENFORCEMENT (90%); LETTERS & COMMENTS (90%); AFRICAN AMERICANS (89%); JEWS & JUDAISM (83%); LAW COURTS & TRIBUNALS (78%); RACE & ETHNICITY (78%); ANTISEMITISM (76%); US STATE GOVERNMENT (76%); CIVIL RIGHTS (73%); WRITERS (73%); POLITICS (72%); HOTELS & MOTELS (65%); RELIGION (60%); EDITORIALS & OPINIONS (59%)
ALEXANDRA S. LEVINE,"November 21, 2016 Monday 00:00 EST",,New York Today: A Busy Time for Butchers; New York Today,1007 words,The New York Times,NYREGION,,POULTRY (92%); MEAT STORES (90%); HOLIDAYS & OBSERVANCES (90%); COOKING & ENTERTAINING (90%); THANKSGIVING (90%); US INDEPENDENCE DAY (78%); US FEDERAL GOVERNMENT (78%); MEATS (78%); MEAT FREE DIETS (77%); POULTRY & EGG PRODUCTION (76%); NUTRITION (72%); GROCERY STORES & SUPERMARKETS (71%); SEVERE WIND (63%); ANTIBIOTICS (52%); INVESTIGATIONS (50%); FEDERAL INVESTIGATIONS (50%)
SHANNON DOYNE,"November 21, 2016 Monday 00:00 EST",,How Have People at Your School or in Your Community Reacted to the Presidential Election?; Student Opinion,463 words,The New York Times,LEARNING,,ELECTIONS (91%); STUDENTS & STUDENT LIFE (91%); PRIMARY & SECONDARY SCHOOL TEACHERS (90%); CAMPAIGNS & ELECTIONS (90%); TEACHING & TEACHERS (90%); PROTESTS & DEMONSTRATIONS (90%); US PRESIDENTIAL ELECTIONS (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); US PRESIDENTIAL CANDIDATES 2008 (90%); RACISM & XENOPHOBIA (89%); HIGH SCHOOLS (89%); EDUCATIONAL INSTITUTION EMPLOYEES (89%); HEADS OF GOVERNMENT ELECTIONS (89%); CHILDREN (78%); EDUCATION ADMINISTRATION (78%); ACADEMIC COUNSELING (78%); US PRESIDENTIAL CANDIDATES 2016 (77%); RACE & ETHNICITY (75%); MIDDLE & JUNIOR HIGH SCHOOLS (73%); FAMILY (71%); MINORITY GROUPS (70%); STUDENT DISCIPLINE (70%); RELIGION (66%); JEWS & JUDAISM (66%); POVERTY & HOMELESSNESS (65%); DEPORTATION (51%)
,"November 21, 2016 Monday 00:00 EST",,Questions for: 'Hamilton' Cast's Appeal to Pence Ignites Showdown With Trump'; Article of the Day,179 words,The New York Times,LEARNING,,US PRESIDENTIAL CANDIDATES 2016 (90%); ACTORS & ACTRESSES (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); THEATER (78%); MUSICAL THEATER (70%)
,"November 21, 2016 Monday 00:00 EST",,"The Drama at 'Hamilton,' on Stage and Off; Letters",656 words,The New York Times,OPINION,,FREEDOM OF SPEECH (92%); CONSTITUTIONAL LAW (90%); POLITICAL PARTIES (90%); US PRESIDENTIAL CANDIDATES 2016 (90%); LIBERALISM (90%); LETTERS & COMMENTS (90%); US REPUBLICAN PARTY (89%); US PRESIDENTIAL CANDIDATES 2012 (89%); CONSERVATISM (78%); COLLEGES & UNIVERSITIES (77%); LAW SCHOOLS (77%); POLITICS (77%); MANNERS & ETIQUETTE (74%); WRITERS (73%); COLLEGE & UNIVERSITY PROFESSORS (72%); INTERNET SOCIAL NETWORKING (61%); EDITORIALS & OPINIONS (59%)
"MICHAEL D. SHEAR, CARL HULSE and MICHAEL S. SCHMIDT","November 21, 2016 Monday 00:00 EST",,"A List of Priorities From Trump, and Kris Kobach Tips His Hand; Transition Briefing",1632 words,The New York Times,US; politics,,NATIONAL SECURITY (91%); US FEDERAL GOVERNMENT (90%); ECONOMIC POLICY (90%); ECONOMIC NEWS (90%); PUBLIC POLICY (90%); TALKS & MEETINGS (89%); FOREIGN RELATIONS (89%); FOREIGN POLICY (89%); POLITICS (89%); US DEMOCRATIC PARTY (89%); SEPTEMBER 11 ATTACK (78%); SPECIAL INVESTIGATIVE FORCES (78%); US PRESIDENTIAL CANDIDATES 2016 (78%); US PRESIDENTS (78%); LOBBYING (77%); TERRORISM (76%); PRESS CONFERENCES (75%); REFUGEES (72%); EMPLOYMENT SEARCH (71%); IMMIGRATION (71%); NATURAL GAS (69%); IRAQ WAR (69%); INTERNATIONAL RELATIONS (68%); SYRIAN CRISIS (67%); STRATEGIC PLANNING (58%); GENDER EQUALITY (50%)
GARDINER HARRIS,"November 21, 2016 Monday 00:00 EST",,"As Obama's Tour Ends, He Says U.S. Involvement Abroad Must Not",923 words,The New York Times,WORLD,,INTERNATIONAL RELATIONS (91%); PRESS CONFERENCES (90%); INTERNATIONAL TOURISM (90%); TALKS & MEETINGS (89%); ECONOMIC POLICY (89%); ECONOMIC NEWS (89%); FOREIGN POLICY (89%); US PRESIDENTS (78%); GERMAN CHANCELLORS (78%); TRADE TREATIES & AGREEMENTS (77%); IMMIGRATION (77%); GLOBAL WARMING (76%); AGREEMENTS (76%); TRADE DEVELOPMENT (72%); TREATIES & AGREEMENTS (72%); PUBLIC POLICY (71%); WORLD WAR II (69%); FAMINE (69%)
DAVID LEONHARDT,"November 21, 2016 Monday 00:00 EST",,'Identity Politics' and Its Defenders; Op-Ed Columnist,446 words,The New York Times,OPINION,,EDITORIALS & OPINIONS (92%); RACE & ETHNICITY (91%); POLITICAL PARTIES (90%); ETHNICITY (90%); CAMPAIGNS & ELECTIONS (90%); POLITICS (90%); US PRESIDENTIAL CANDIDATES 2016 (89%); INTERNET SOCIAL NETWORKING (89%); US PRESIDENTIAL CANDIDATES 2012 (89%); DISCRIMINATION (89%); WRITERS (78%); LIBERALISM (77%); ELECTIONS (76%); RACISM & XENOPHOBIA (76%); US PRESIDENTIAL ELECTIONS (76%); HEADS OF GOVERNMENT ELECTIONS (76%); ELECTRONIC PUBLISHING (73%); ATTORNEYS GENERAL (73%); SOCIAL MEDIA (65%); VOTERS & VOTING (65%)
MIKE IVES,"November 21, 2016 Monday 00:00 EST",,Philippines to Declare Marine Sanctuary in South China Sea,955 words,The New York Times,WORLD; asia,,MARINE BIOLOGY (90%); MARINE RESOURCES MANAGEMENT (90%); CONSERVATION (90%); FISHERIES (89%); ISLANDS & REEFS (89%); COMMERCIAL FISHING (89%); SCIENCE NEWS (86%); SCIENCE & TECHNOLOGY (86%); FISHES (78%); TALKS & MEETINGS (78%); FISHERIES ADMINISTRATION (78%); SUSTAINABLE FISHERIES (78%); WILDLIFE CONSERVATION (78%); MARINE VESSELS (78%); INTERNATIONAL RELATIONS (77%); STATE DEPARTMENTS & FOREIGN SERVICES (76%); INTERNATIONAL LAW (75%); FISHING LAW (74%); ENVIRONMENT & NATURAL RESOURCES (72%); ECONOMIC POLICY (71%); ECONOMIC NEWS (71%); ALTERNATIVE DISPUTE RESOLUTION (69%); NONPROFIT ORGANIZATIONS (67%)
THE ASSOCIATED PRESS,"November 21, 2016 Monday 00:00 EST",,"Wall St. Closes Higher, Fueled by Oil Prices",755 words,The New York Times,BUSINESS,,STOCK INDEXES (96%); MARKET OPEN CLOSE (94%); OIL & GAS PRICES (91%); INTERIM FINANCIAL RESULTS (90%); CRUDE OIL MARKETS (90%); FOOD INDUSTRY (90%); OIL & GAS INDUSTRY (90%); FINANCIAL PERFORMANCE & REPORTS (90%); PETROLEUM PRODUCTS (90%); PRICES (90%); STOCK EXCHANGES (90%); ANIMAL SLAUGHTERING & PROCESSING (89%); EXECUTIVES (86%); OIL & GAS OUTPUT (78%); SALES FIGURES (78%); OIL EXTRACTION (78%); BONDS (78%); GENERAL PARTNERSHIPS (78%); OIL & GAS PIPELINE CONSTRUCTION (78%); PIPELINE TRANSPORTATION (78%); ANNUAL FINANCIAL RESULTS (78%); COMPANY PROFITS (76%); POULTRY (73%); SOFTWARE MAKERS (72%); WATER RESOURCES (67%); INFORMATION SECURITY & PRIVACY (62%); IDENTITY THEFT (62%); FRAUD & FINANCIAL CRIME (62%); DAMS & RESERVOIRS (61%)
CHAD BRAY,"November 21, 2016 Monday 00:00 EST",,"Michael Sherwood, Goldman Sachs's Co-Head of Europe, to Step Down",506 words,The New York Times,BUSINESS; dealbook,,EXECUTIVES (91%); EXECUTIVE MOVES (78%); EUROPEAN UNION (78%); SHAREHOLDER PROXIES (76%); TESTIMONY (73%); DEPARTMENT STORES (73%); RETAILERS (64%); INSOLVENCY & BANKRUPTCY (60%); PHOTO & VIDEO SHARING (60%); LYMPHOMA (56%); REFERENDUMS (55%)
RORY SMITH,"November 21, 2016 Monday 00:00 EST",,'Made in Sporting': Lisbon Club's Youth Academy Sets It Apart,1373 words,The New York Times,SPORTS; soccer,,SOCCER TOURNAMENTS (90%); PROFESSIONAL SPORTS (89%); SOCCER (89%); SPORTS & RECREATION EVENTS (78%); FOLKLORE (78%); ISLANDS & REEFS (74%); SPORTS AWARDS (72%)
CECILIA KANG,"November 21, 2016 Monday 00:00 EST",,Fake News Onslaught Targets Pizzeria as Nest of Child-Trafficking,1618 words,The New York Times,TECHNOLOGY,,INTERNET SOCIAL NETWORKING (92%); US PRESIDENTIAL CANDIDATES 2008 (92%); US PRESIDENTIAL CANDIDATES 2016 (91%); CHILD ABUSE (91%); ELECTIONS (90%); CAMPAIGNS & ELECTIONS (90%); CHILD TRAFFICKING (90%); US PRESIDENTIAL ELECTIONS (90%); RESTAURANTS (90%); CHILDREN (89%); SOCIAL MEDIA (89%); US PRESIDENTIAL CANDIDATES 2012 (89%); HEADS OF GOVERNMENT ELECTIONS (89%); US PRESIDENTS (78%); POLITICS (78%); INVESTIGATIONS (76%); CYBERCRIME (76%); CONSPIRACY (76%); CHILD WELFARE (75%); SEX OFFENSES (74%); EXECUTIVES (74%); INTERNET & WWW (74%); HUMAN TRAFFICKING (73%); CRIMINAL INVESTIGATIONS (71%); CHILD SEXUAL ABUSE (70%); KIDNAPPING & ABDUCTION (68%); CONSERVATIVE MEDIA (67%); LAW ENFORCEMENT (65%); WRITERS (63%)
J. DAVID GOODMAN,"November 21, 2016 Monday 00:00 EST",,Mayor de Blasio Vows to Shield New Yorkers From Trump's Policies,970 words,The New York Times,NYREGION,,IMMIGRATION (93%); US REPUBLICAN PARTY (90%); US PRESIDENTS (90%); RACISM & XENOPHOBIA (90%); US DEMOCRATIC PARTY (90%); GOVERNORS (90%); DEPORTATION (90%); MUSLIMS & ISLAM (89%); ELECTIONS (89%); MAYORS (89%); CAMPAIGNS & ELECTIONS (89%); CITY GOVERNMENT (89%); POLICE FORCES (89%); PRIMARY ELECTIONS (78%); TYPES OF GOVERNMENT (78%); LEGISLATIVE BODIES (78%); US PRESIDENTIAL CANDIDATES 2016 (78%); CITIES (78%); REGIONAL & LOCAL GOVERNMENTS (78%); POLITICS (78%); US PRESIDENTIAL ELECTIONS (78%); HEADS OF GOVERNMENT ELECTIONS (78%); CLERGY & RELIGIOUS VOCATIONS (76%); LAWYERS (76%); RELIGION (76%); CIVIL SERVICES (76%); FIRE DEPARTMENTS (73%); GAYS & LESBIANS (71%); INVESTIGATIONS (70%); CRIMINAL INVESTIGATIONS (69%); SEARCH & SEIZURE (65%); HUMAN RIGHTS (50%)
GILBERT CRUZ,"November 21, 2016 Monday 00:00 EST",,Watch This 2006 Documentary About Rudy Giuliani; Watch This,316 words,The New York Times,WATCHING,,US PRESIDENTIAL CANDIDATES 2008 (91%); MAYORS (90%); US PRESIDENTIAL CANDIDATES 2016 (90%); DOCUMENTARY FILMS (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); CAMPAIGNS & ELECTIONS (78%); HEADS OF STATE & GOVERNMENT (76%); IMMIGRATION (74%); PUBLIC POLICY (74%); POLITICAL DETAINEES (69%); REFUGEES (69%); LAWYERS (67%); LITIGATION (67%)
VIVIAN YEE,"November 21, 2016 Monday 00:00 EST",,"Simcha Felder, Rogue Democratic Senator, Will Remain Loyal to G.O.P.",800 words,The New York Times,NYREGION,,LEGISLATIVE BODIES (93%); US DEMOCRATIC PARTY (91%); US REPUBLICAN PARTY (90%); POLITICAL PARTIES (90%); CAUCUSES (90%); VOTERS & VOTING (90%); US STATE GOVERNMENT (90%); POLITICS (90%); ELECTIONS (89%); RELIGION (89%); PRIVATE SCHOOLS (89%); CAMPAIGNS & ELECTIONS (89%); JEWS & JUDAISM (89%); CITY GOVERNMENT (88%); PRIMARY ELECTIONS (78%); US POLITICAL PARTIES (78%); BALLOTS (76%); FAITH BASED SCHOOLS (71%); RELIGIOUS EDUCATION (71%); PARKS & PLAYGROUNDS (62%); TUITION FEES (60%); STUDENT FINANCIAL AID (60%); TELEVISION PROGRAMMING (51%)
KEVIN ALLISON,"November 21, 2016 Monday 00:00 EST",,Market Reaction to Deal May Bode Ill for Energy Transfer Partners; Breakingviews,442 words,The New York Times,BUSINESS; dealbook,,LIMITED PARTNERSHIPS (90%); GENERAL PARTNERSHIPS (89%); PRICES (89%); ENVIRONMENTALISM (74%); PIPELINE TRANSPORTATION (73%); SHAREHOLDERS (72%); DIVESTITURES (72%); EXECUTIVES (68%); APPROVALS (68%)
TINA ROSENBERG,"November 21, 2016 Monday 00:00 EST",,The Art of the Protest; Fixes,1987 words,The New York Times,OPINION,,LEGISLATIVE BODIES (90%); US REPUBLICAN PARTY (90%); ABORTION LAWS (90%); POLITICAL PARTIES (90%); ABORTION (90%); PROTESTS & DEMONSTRATIONS (90%); EDITORIALS & OPINIONS (90%); CIVIL RIGHTS (89%); CAMPAIGNS & ELECTIONS (78%); CONSERVATISM (78%); JAIL SENTENCING (77%); PARAMILITARY & MILITIA (76%); POLITICS (76%); SUPREME COURTS (75%); AIDS & HIV (72%); US DEMOCRATIC PARTY (72%); RELIGION (71%); CATHOLICS & CATHOLICISM (71%); US PRESIDENTS (71%); CONFERENCES & CONVENTIONS (71%); LAW COURTS & TRIBUNALS (70%); NUCLEAR ENERGY (67%); HISTORY (66%); APPROVALS (65%); RIOTS (63%)
MARC SANTORA,"November 21, 2016 Monday 00:00 EST",,"Lack of Protocol Added to Chaos During J.F.K. Scare, Inquiry Finds",925 words,The New York Times,NYREGION,,AIRPORTS (95%); INVESTIGATIONS (91%); US FEDERAL GOVERNMENT (90%); SHOOTINGS (90%); FEDERAL INVESTIGATIONS (90%); SPECIAL INVESTIGATIVE FORCES (89%); AVIATION SECURITY (89%); TRAVELER SAFETY & SECURITY (89%); DISMISSALS (89%); AVIATION ADMINISTRATION (89%); NATIONAL SECURITY (78%); AIRPORT OPERATION (78%); PORT AUTHORITIES (78%); ATHLETES (62%); SUMMER OLYMPICS (50%); OLYMPICS (50%)
MICHAEL CORKERY,"November 21, 2016 Monday 00:00 EST",,"Small Banks Cheer Trump. So, After a Pause, Do Big Ones.",1365 words,The New York Times,BUSINESS; dealbook,,BANKING & FINANCE (91%); COMMUNITY BANKS (90%); COMMERCIAL BANKING (90%); PUBLIC POLICY (90%); CONSUMER PROTECTION (90%); BANKING & FINANCE SECTOR PERFORMANCE (89%); US DODD FRANK ACT (89%); BANKING LAW (78%); ECONOMIC POLICY (78%); ECONOMIC NEWS (78%); US PRESIDENTIAL CANDIDATES 2016 (78%); REGULATORY COMPLIANCE (78%); ECONOMIC CRISIS (78%); BANKING & FINANCE REGULATION (78%); INFLATION (78%); DEREGULATION (78%); BONDS (78%); 2010 WALL STREET & BANKING REFORM (78%); CONSUMER LAW (76%); ELECTIONS (76%); ENERGY & UTILITY DEREGULATION (76%); HEADS OF GOVERNMENT ELECTIONS (75%); CAMPAIGNS & ELECTIONS (73%); US PRESIDENTIAL ELECTIONS (72%); EXECUTIVES (70%); SCANDALS (69%); INTEREST RATES (68%)
KAREN ZRAICK and SANDRA STEVENSON,"November 21, 2016 Monday 00:00 EST",,"Donald Trump, Pope Francis: Your Monday Evening Briefing",806 words,The New York Times,BRIEFING,,TRUMP'S FIRST 100 DAYS (90%); US PRESIDENTIAL CANDIDATES 2016 (90%); CONSERVATISM (90%); OBAMA'S FIRST 100 DAYS (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); PRESS CONFERENCES (89%); OLYMPICS (85%); SPORTS & RECREATION EVENTS (84%); CATHOLIC POPES (83%); US PRESIDENTS (78%); PHOTO & VIDEO SHARING (78%); ENVIRONMENTAL LAW (75%); ENVIRONMENTALISM (75%); SHERIFFS (73%); RIOTS (73%); SOCIAL MEDIA (72%); CLERGY & RELIGIOUS VOCATIONS (72%); RELIGION (72%); INFOMERCIALS (72%); INTERNET SOCIAL NETWORKING (72%); NATURAL GAS (70%); ENVIRONMENT & NATURAL RESOURCES (70%); PROTESTS & DEMONSTRATIONS (67%); 2012 LONDON SUMMER OLYMPICS (65%); SPORTS AWARDS (65%); BLOGS & MESSAGE BOARDS (64%); SOCCER (63%); LAW ENFORCEMENT (63%); FIRES (61%); NATIVE AMERICANS (61%); SUMMER OLYMPICS (60%); SPORTS & RECREATION (60%); WINTER SPORTS (60%); 2014 SOCHI WINTER OLYMPICS (60%); CONFERENCES & CONVENTIONS (57%); NATURAL GAS PRODUCTS (55%); WINTER OLYMPICS (50%)
CHRISTOPHER CLAREY,"November 21, 2016 Monday 00:00 EST",,"Argentina to Face Croatia, and History of Heartbreak, in Quest for First Davis Cup; On Tennis",1008 words,The New York Times,SPORTS; tennis,,TENNIS TOURNAMENTS (91%); ATHLETES (90%); TENNIS (90%); SPORTS (90%); SPORTS AWARDS (90%); STADIUMS & ARENAS (89%); RANKINGS (89%); SPORTS & RECREATION EVENTS (78%); NOVELS & SHORT STORIES (77%); TOURNAMENTS (77%); TICKET SALES (73%); ADULTS (66%)
JOE COSCARELLI,"November 21, 2016 Monday 00:00 EST",,Kanye West Is Hospitalized for 'Psychiatric Emergency' Hours After Canceling Tour,616 words,The New York Times,ARTS; music,,RAP MUSIC (91%); HIP HOP CULTURE (90%); RECORD INDUSTRY (89%); ELECTIONS (78%); CAMPAIGNS & ELECTIONS (78%); FIRE DEPARTMENTS (77%); RECORD PRODUCTION & DISTRIBUTION (76%); POLICE FORCES (72%); ENTERTAINMENT & ARTS (71%); MUSIC INDUSTRY (71%); HEADS OF GOVERNMENT ELECTIONS (71%); US PRESIDENTIAL ELECTIONS (69%)
JAMES R. OESTREICH,"November 21, 2016 Monday 00:00 EST",,Review: 'Absolutely on Music' Gives a Maestro a Stage for Ideas; Books of The Times,1027 words,The New York Times,BOOKS,,CLASSICAL MUSIC (90%); BOOK REVIEWS (90%); DISEASES & DISORDERS (90%); FESTIVALS (90%); MUSIC (89%); MUSIC GROUPS & ARTISTS (89%); WRITERS (78%); LITERATURE (74%); FICTION LITERATURE (74%); SURGERY & TRANSPLANTATION (72%); ENTERTAINMENT & ARTS AWARDS (70%); NOVELS & SHORT STORIES (69%); NOBEL PRIZES (69%); GASTROINTESTINAL CANCER (56%); AWARDS & PRIZES (54%)
RACHEL DONADIO,"November 21, 2016 Monday 00:00 EST",,Jeff Koons Is Giving Sculpture to Paris to Remember Terror Victims,617 words,The New York Times,ARTS; design,,TERRORISM (90%); SCULPTURE (90%); ARTISTS & PERFORMERS (90%); MUSEUMS & GALLERIES (90%); VISUAL ARTISTS (90%); INTERVIEWS (89%); PRESS CONFERENCES (86%); NOVEMBER 2015 PARIS ATTACKS (79%); PAINTING (78%); CITY GOVERNMENT (78%); TERRORIST ATTACKS (77%); EMBASSIES & CONSULATES (65%)
THOMAS J. SUGRUE,"November 21, 2016 Monday 00:00 EST",,Jeff Sessions' Other Civil Rights Problem; Op-Ed Contributor,979 words,The New York Times,OPINION,,LAWYERS (92%); EDITORIALS & OPINIONS (92%); ATTORNEYS GENERAL (91%); LEGISLATIVE BODIES (90%); US REPUBLICAN PARTY (90%); SCHOOL DESEGREGATION (90%); CIVIL RIGHTS (90%); WITNESSES (90%); TESTIMONY (90%); LAW COURTS & TRIBUNALS (89%); SCHOOL DISTRICTS (89%); EDUCATION SYSTEMS & INSTITUTIONS (89%); PUBLIC SCHOOLS (89%); STUDENTS & STUDENT LIFE (86%); TYPES OF GOVERNMENT (78%); US FEDERAL GOVERNMENT (78%); SUPREME COURTS (78%); US STATE GOVERNMENT (78%); CONFERENCES & CONVENTIONS (78%); JUDGES (78%); SCHOOL BOARDS (78%); ASSOCIATIONS & ORGANIZATIONS (78%); JUSTICE DEPARTMENTS (77%); LITIGATION (77%); RACE & ETHNICITY (75%); HUMAN RIGHTS ORGANIZATIONS (74%); RIGHT TO EDUCATION (74%); SUITS & CLAIMS (72%); DECISIONS & RULINGS (71%); SETTLEMENTS & DECISIONS (71%); PRIMARY & SECONDARY SCHOOL TEACHERS (70%); EDUCATION FUNDING (70%); CONSTITUTIONAL LAW (69%); EDUCATION REFORM (65%); SCHOOL TRANSPORTATION (65%); TEACHING & TEACHERS (64%); LAW ENFORCEMENT (63%); MOTORCOACHES & BUSES (63%); DISABLED PERSONS (60%)
MASHA GONCHAROVA,"November 20, 2016 Sunday 00:00 EST",,"Forced to Leave Odessa as a Girl, and Yearning for the Life She Knew Then; The Neediest Cases",1111 words,The New York Times,NYREGION,,WORLD WAR II (90%); MOUNTAINS (90%); WAR & CONFLICT (90%); CHILDREN (89%); HOLOCAUST (77%); JEWS & JUDAISM (72%); MARRIAGE (69%); TUBERCULOSIS (68%); INTERVIEWS (67%); TELEVISION INDUSTRY (64%); KIDNEY DISEASE (60%); ASSOCIATIONS & ORGANIZATIONS (60%); UROGENITAL DISORDERS & INJURIES (60%)
JANE A. PETERSON,"November 20, 2016 Sunday 00:00 EST",,"At De Grisogono, It's All Gems and Glamour",1144 words,The New York Times,FASHION,,CLOCK & WATCH MFG (90%); FINE WATCHES (90%); FINE JEWELRY (90%); FINE JEWELRY MFG (89%); JEWELRY & SILVERWARE MFG (78%); JEWELRY RETAILERS (73%); MARRIAGE (66%)
KELLEY MCMILLAN MANLEY,"November 20, 2016 Sunday 00:00 EST",,"On These French Ski Slopes, You're on Your Own",1226 words,The New York Times,TRAVEL,,SKIING (96%); SKIING FACILITIES (90%); AVALANCHES (90%); MOUNTAINS (90%); GLACIERS & ICEBERGS (89%); HOTELS & MOTELS (87%); SPORTING GOODS STORES (73%); CLIMBING (73%); RESTAURANTS (66%)
KIRK JOHNSON,"November 20, 2016 Sunday 00:00 EST",,Bring a Yoga Mat and an Open Mind. Goats Are Provided.,499 words,The New York Times,US,,YOGA (94%); SPORTS INSTRUCTION (90%); STUDENTS & STUDENT LIFE (89%); COACHES & TRAINERS (89%); WEDDINGS & ENGAGEMENTS (70%); MEAT FREE DIETS (55%)
SUSANNE FOWLER,"November 20, 2016 Sunday 00:00 EST",,Deciphering Jewels From the Maghreb,642 words,The New York Times,FASHION,,EXHIBITIONS (90%); MUSEUMS & GALLERIES (77%); ANTIQUES & COLLECTIBLES (77%); MUSLIMS & ISLAM (75%); FASHION ACCESSORIES (71%); RURAL COMMUNITIES (64%); RELIGION (63%)
"ÓSCAR MARTÍNEZ, EFREN LEMUS, CARLOS MARTÍNEZ and DEBORAH SONTAG","November 20, 2016 Sunday 00:00 EST",,Killers on a Shoestring: Inside the Gangs of El Salvador,5569 words,The New York Times,WORLD; americas,,GANGS (91%); MURDER (90%); ARRESTS (78%); LAW ENFORCEMENT (78%); HOMICIDE (77%); ORGANIZED CRIME (77%); ASSOCIATIONS & ORGANIZATIONS (75%); MOTOR VEHICLES (71%); EXECUTIVES (70%); CARTELS (69%); NEW CAR DEALERS (66%); VEHICLE IMPOUNDMENT (66%); HOTELS & MOTELS (52%)
NINA SIEGAL,"November 20, 2016 Sunday 00:00 EST",,"In Amsterdam, the Story of Jewelry's Beginnings",237 words,The New York Times,FASHION,,MUSEUMS & GALLERIES (91%); ARTS FESTIVALS & EXHIBITIONS (90%); ART COLLECTING (90%); FINE JEWELRY (78%); HISTORY (76%); ANTHROPOLOGY & ARCHAEOLOGY (75%); JEWELRY & SILVERWARE MFG (73%)
CHARU SURI,"November 20, 2016 Sunday 00:00 EST",,"Custom Jewelry, Mini Size",882 words,The New York Times,FASHION,,CHILDREN (90%); JEWELRY (89%); FINE JEWELRY (89%); WEDDINGS & ENGAGEMENTS (89%); DRAWING & ILLUSTRATION (78%); JEWELRY RETAILERS (78%); FASHION DESIGN (77%); FASHION DESIGNERS (77%); FASHION & APPAREL (72%); GRANDPARENTS (71%); PARENTS (68%); RELIGION (50%)
LAURA RYSMAN,"November 20, 2016 Sunday 00:00 EST",,"In Lebanon, a Jeweler Modernizes a 19th Century Setting",248 words,The New York Times,FASHION,,JEWELRY (90%); RELIGION (73%); CIVIL WAR (57%)
ZAINEB AL HASSANI,"November 20, 2016 Sunday 00:00 EST",,"In the Emirates, Traditional Wedding Jewelry is Back in Style",925 words,The New York Times,STYLE,,JEWELRY (90%); FINE JEWELRY (90%); WEDDINGS & ENGAGEMENTS (90%); FAMILY (89%); WOMEN (75%); HUMANITIES & SOCIAL SCIENCE (65%); COLLEGE & UNIVERSITY PROFESSORS (60%); ARCHAEOLOGY (60%); ANTHROPOLOGY & ARCHAEOLOGY (50%)
MING LIU,"November 20, 2016 Sunday 00:00 EST",,Opportunities Create 'Quite a Wild Month' for Bangkok Jewelers,883 words,The New York Times,FASHION,,JEWELRY (90%); JEWELRY RETAILERS (90%); JEWELRY & SILVERWARE MFG (90%); FASHION & APPAREL (89%); FAMILY COMPANIES (88%); BRANDING (78%); RETAILERS (76%); FINE JEWELRY (76%); FAMILY (72%); EXECUTIVES (50%)
THE ASSOCIATED PRESS,"December 31, 2016 Saturday 00:00 EST",,Ronda Rousey's U.F.C. Return Ends in 48 Seconds of Punches by Amanda Nunes,437 words,The New York Times,SPORTS,,MARTIAL ARTS (92%); SPORTS & RECREATION EVENTS (90%); ATHLETES (78%); SPORTS OFFICIATING (78%); PROTESTS & DEMONSTRATIONS (75%); STADIUMS & ARENAS (74%); PAY PER VIEW (73%); OLYMPICS (73%); REFEREES & UMPIRES (70%); ETHICS (69%)
SHIVANI VORA,"December 31, 2016 Saturday 00:00 EST",,"How Hemant Mathur, Indian Restaurateur, Spends His Sundays; Sunday Routine",696 words,The New York Times,NYREGION,,RESTAURANT REVIEWS (90%); RESTAURANTS (90%); FRUITS & VEGETABLES (89%); NIGHT & SHIFT WORK (78%); HOSPITALITY INDUSTRY (78%); TELEVISION PROGRAMMING (74%); ACTORS & ACTRESSES (67%); MEDIA CONTENT (66%)
ARIELLE DOLLINGER,"December 31, 2016 Saturday 00:00 EST",,"At Cook's Arts & Crafts Shoppe, a Cozy Social Scene; Neighborhood Joint",557 words,The New York Times,NYREGION,,KNITTING & CROCHETING (92%); RETAILERS (90%); SEWING & NEEDLECRAFTS (90%); HOBBIES (76%); RESTAURANTS (76%); ELECTRONIC EQUIPMENT REPAIR & MAINTENANCE (64%); SOCIAL MEDIA (50%)
ELAINE GLUSAC,"December 31, 2016 Saturday 00:00 EST",,"Discounts at Caribbean Resorts, Even in High Season; Chasing the Deal",232 words,The New York Times,TRAVEL,,RESORTS (92%); DESTINATIONS & ATTRACTIONS (90%); CRUISES (78%); HOTELS & MOTELS (78%); TRAVEL  HOSPITALITY & TOURISM (78%); AIR FARES (76%); HOTEL CHAINS (73%)
